DO090a7e-221013-UK5039d1,UK5039d1-221013-6373b5e2,쿠앤크,믹스 중형견,모르겠어요,10.3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2482833026/312e10de.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2482833026/312e10de.jpeg,54.18,45.48,34.27,23.35,USER,USER,USER,USER,05:16.6,1,0,FALSE
DOa612d4-221022-UK54b32e,UK54b32e-221002-0ce5b4b7,양갱,보스턴 테리어,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2468511685/a95b7c3b.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2468511685/a95b7c3b.jpeg,50,49,29,20,USER,USER,USER,USER,26:40.8,0,0,FALSE
DO29865e-221022-UK54b32e,UK54b32e-221002-0ce5b4b7,양갱,보스턴 테리어,모르겠어요,8.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2468511685/f613e17d.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2468511685/f613e17d.jpeg,50,50,28,25,USER,USER,USER,USER,51:35.3,0,0,FALSE
DOade9aa-221024-UK5566ad,UK5566ad-221024-ee15ec83,곰이,진돗개,모르겠어요,25,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496052072/c8757007.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2496052072/c8757007.jpeg,65,57,43.5,35,USER,USER,USER,USER,35:19.2,1,0,FALSE
DO71f4a6-221007-UK57aa53,UK57aa53-221007-aa48d963,포비,비숑 프리제,남자,8.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475685585/5592329f.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475685585/5592329f.jpeg,49,40,33,21,USER,USER,USER,USER,42:51.0,1,0,FALSE
DOd5d20e-221007-UK57aa53,UK57aa53-221007-aa48d963,포비,비숑 프리제,모르겠어요,8.7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475685585/629c4304.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2475685585/629c4304.jpeg,48,40,32,23,USER,USER,USER,USER,45:15.4,0,0,FALSE
DOb0378d-221011-UK57da31,UK57da31-221011-859b2968,태양이,믹스 중형견,모르겠어요,12,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2480598931/6c29a583.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2480598931/6c29a583.jpeg,54,66,38,18,USER,USER,USER,USER,05:32.2,1,0,FALSE
DOc2b3f3-221017-UK58b04f,UK58b04f-221017-76da0ac5,탄,퍼그,모르겠어요,13,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2486939117/213dbd61.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2486939117/213dbd61.jpeg,60,42,37,19,USER,USER,USER,USER,47:10.8,1,0,FALSE
DOd9fb77-221029-UK5bd604,UK5bd604-221029-d31739f6,해리,시츄,모르겠어요,5.2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2503355760/fdf6f519.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2503355760/fdf6f519.jpeg,39,32,27,16,USER,USER,USER,USER,26:36.9,1,0,FALSE
DO03d3e3-221020-UK5d5e21,UK5d5e21-221020-71f45366,우유,재패니즈 스피츠,모르겠어요,7,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2491024047/3ffd55da.jpeg,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2491024047/3ffd55da.jpeg,43,40,29,20,USER,USER,USER,USER,15:28.0,1,0,FALSE
