UK68f44b-220921-0cbed24f,이경수,바센지,모르겠어요,3.1,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438441061/8fd4e650.jpeg,31.5,23,19,14,USER,USER,USER,USER,29:05.5,1,0,TRUE
UK7f6a8a-220921-4447d0b1,코코,푸들스탠다드,모르겠어요,3.1,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438460252/f52d23c4.jpeg,32,23,21,14,USER,USER,USER,USER,43:40.5,1,0,TRUE
UKa680a2-220921-b7a8013b,금자,포메라니안,여자,2,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438485974/a323a5f8.jpeg,18,18,18,18,USER,USER,USER,USER,03:58.4,1,0,TRUE
UK603b0f-220921-a46de8b8,지슬,골든 리트리버,모르겠어요,27,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438506234/c3b0c6c8.jpeg,71.41,56.18,44.5,33.2,USER,USER,USER,USER,19:45.8,1,0,TRUE
UK555167-220921-2ed52e28,푸후,푸들 미디엄미니어처,모르겠어요,6,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438517476/9a722e8e.jpeg,43.31,37.2,27.03,22.22,USER,USER,USER,USER,29:37.6,1,0,TRUE
UK29ae54-220921-c95dafe3,칼라,도베르만 핀셔,모르겠어요,30,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438530736/af7cd17a.jpeg,82,57,38,32,USER,USER,USER,USER,39:24.5,1,0,TRUE
UK4a5559-220921-0aa2008a,보리,재패니즈 스피츠,모르겠어요,9,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438320856/3517efde.jpeg,51.12,40.09,34.29,22.66,USER,USER,USER,USER,30:31.0,1,0,TRUE
UK0fb996-220811-79c60be6,별이,말티즈,모르겠어요,4.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2383600325/0e06b7e9.jpeg,38,31,27,15,USER,USER,USER,USER,32:19.7,0,0,TRUE
UK9f29ff-220921-f1f48a28,봉식,포메라니안,모르겠어요,3,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2438959539/17304d1c.jpeg,36.8,33.21,18.79,13.41,USER,USER,USER,USER,40:41.9,1,0,TRUE
UK987881-220922-6398b45e,제이,믹스 중형견,모르겠어요,8,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439009212/5082d62f.jpeg,49.6,40.61,31.43,21.71,USER,USER,USER,USER,40:29.8,1,0,TRUE
UKecfe85-220922-9b6fd142,김꾸미,믹스 소형견,모르겠어요,4,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439041977/022a11db.jpeg,38.21,31.64,24.68,17.47,USER,USER,USER,USER,42:37.2,1,0,TRUE
UKb06892-220812-8e3d183f,쵸파,푸들 미디엄미니어처,모르겠어요,7.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2386206465/d147591f.jpeg,48,40,29,23,USER,USER,USER,USER,10:02.1,0,0,TRUE
UKe8a5b9-220922-3fe29c73,나리,믹스 소형견,모르겠어요,5.5,00:00.0,https://doggly-bucket-prod.s3.ap-northeast-2.amazonaws.com/dog/size/2439321281/9f131635.jpeg,43.35,35.94,27.62,19.35,USER,USER,USER,USER,01:47.9,1,0,TRUE
